Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
0.0,1,1,746818.3,3150505.33,22.8316,-0.0008,0.048
0.0,14,1,746803.74,3150578.55,22.3997,-0.0099,0.0982
0.0,24,3,746861.94,3150515.09,30.5037,-0.0575,-0.2454
0.0,20,8,746850.74,3150495.8,7.5137,-0.06,-0.0015
0.0,18,1,746772.24,3150586.87,15.0368,-0.1433,-0.0965
0.0,6,1,746812.42,3150573.95,19.781,-0.0246,0.3952
0.0,22,1,746772.88,3150515.72,16.801,-0.0132,-0.1302
0.0,28,3,746845.47,3150495.04,18.8193,-0.1554,0.0122
0.0,36,4,746759.19,3150564.41,33.8465,-0.067,-0.3876
0.0,40,3,746839.85,3150528.64,24.6787,0.1162,0.4237
0.0,11,1,746754.37,3150571.67,38.0024,-0.0759,-0.074
0.0,15,1,746821.97,3150572.61,25.4406,0.0571,0.3373
0.0,25,3,746858.72,3150516.45,34.6245,-0.0892,-0.3648
0.0,29,3,746801.4,3150506.14,20.5867,0.0383,0.2306
0.0,12,1,746776.69,3150548.43,22.8784,-0.0583,0.4068
0.0,16,1,746766.7,3150532.29,0.1295,-0.002,0.0171
0.0,9,1,746793.5,3150576.6,16.2215,-0.0417,-0.0191
0.0,5,1,746785.39,3150581.31,20.4434,-0.0192,-0.132
0.0,39,3,746772.78,3150537.56,29.53,-0.1641,-0.2148
0.0,2,2,746809.85,3150578.5,20.0767,-0.0352,0.1493
0.0,23,3,746765.3,3150538.98,0.0129,0.0093,-0.0405
0.0,33,1,746830.64,3150501.53,20.974,-0.0598,-0.1904
0.0,38,3,746852.92,3150524.3,24.6946,-0.0742,-0.2031
0.0,35,1,746768.68,3150541.06,27.5932,-0.1162,-0.3346
0.0,3,1,746858.6,3150487.96,12.4258,0.1894,0.0402
0.0,30,3,746773.51,3150543.44,18.509,-0.0564,0.0464
0.0,41,3,746842.25,3150528.45,27.0602,0.0785,0.3141
0.0,7,1,746769.96,3150523.05,17.1619,-0.0644,0.0563
0.0,17,1,746841.0,3150538.43,21.7581,-0.0458,0.4652
0.0,34,3,746820.22,3150512.12,24.0065,0.0718,0.5486
0.0,21,3,746853.35,3150532.53,25.5104,-0.0635,-0.4222
0.0,26,4,746839.29,3150504.21,14.8791,0.001,-0.1012
0.0,4,4,746787.98,3150516.8,19.4369,0.0055,0.2212
0.0,8,1,746765.68,3150591.56,11.2431,-0.0236,-0.0508
0.0,13,1,746847.61,3150567.86,14.5073,0.0062,-0.0917
0.0,37,2,746846.42,3150545.27,25.7841,0.0405,0.0859
0.0,31,3,746856.07,3150521.85,29.6998,-0.1189,-0.3953
0.0,19,8,746780.5,3150525.02,19.3474,-0.0261,0.2625
0.0,10,1,746800.68,3150572.24,19.199,0.0963,0.1153
0.0,27,3,746793.66,3150581.57,24.0796,-0.0236,-0.0833
0.0,32,2,746853.29,3150489.55,10.1165,0.1422,0.0161
0.2002,35,1,746768.24,3150542.53,27.6239,0.245,-0.6413
0.2002,10,1,746801.72,3150572.47,19.0931,-0.3867,0.2778
0.2002,26,4,746838.49,3150504.39,14.8887,-0.0106,-0.1634
0.2002,9,1,746794.39,3150576.48,16.2341,0.1289,0.0078
0.2002,21,3,746853.89,3150531.22,25.5595,0.1973,-0.7621
0.2002,39,3,746772.39,3150539.16,29.6146,0.4964,-0.3339
0.2002,12,1,746777.18,3150549.61,22.8646,0.0519,0.6808
0.2002,37,2,746846.14,3150543.87,25.8224,0.0251,0.1474
0.2002,18,1,746772.97,3150586.46,15.1123,0.4012,-0.1331
0.2002,6,1,746813.51,3150573.79,19.7786,0.0256,0.7338
0.2002,14,1,746804.96,3150578.29,22.3537,-0.1391,0.18
0.2002,36,4,746758.23,3150566.03,33.9013,0.2294,-0.681
0.2002,34,3,746818.95,3150511.73,24.0312,0.015,1.0283
0.2002,27,3,746794.97,3150581.31,24.0367,-0.1127,-0.1699
0.2002,13,1,746847.51,3150567.06,14.5319,0.0709,-0.1714
0.2002,38,3,746853.78,3150523.23,24.7174,0.1617,-0.335
0.2002,11,1,746752.97,3150573.25,38.0923,0.3707,-0.1041
0.2002,29,3,746800.31,3150506.48,20.6163,0.0786,0.449
0.2002,40,3,746839.17,3150527.46,24.6717,-0.158,0.7483
